medium , 1 , simple loop , 5 , 5 , 1 , 1.08 , 32.1k
medium , 3 , parallel , 5 , 5 , 1 , 0.55 , 63.1k
medium , 2 , threads_sum , 4 , 1 , 4 , 0.42 , 32.1k
medium , 1 , simple loop , 6 , 6 , 1 , 1.08 , 32.1k
medium , 3 , parallel , 6 , 6 , 1 , 0.51 , 78.1k
medium , 2 , threads_sum , 5 , 1 , 5 , 0.34 , 32.1k
medium , 1 , simple loop , 7 , 7 , 1 , 1.06 , 32.1k
medium , 3 , parallel , 7 , 7 , 1 , 0.5 , 95.1k
medium , 2 , threads_sum , 6 , 1 , 6 , 0.3 , 32.1k
medium , 1 , simple loop , 8 , 8 , 1 , 1.08 , 32.1k
medium , 3 , parallel , 8 , 8 , 1 , 0.48 , 110.2k
medium , 2 , threads_sum , 7 , 1 , 7 , 0.25 , 32.1k
medium , 1 , simple loop , 9 , 9 , 1 , 1.07 , 32.1k
medium , 3 , parallel , 9 , 9 , 1 , 0.53 , 127.5k
medium , 4 , mapreduce , 9 , 9 , 1 , 0.57 , 152.4k
medium , 5 , pmapsum1 , 9 , 9 , 1 , 39.29 , 15.2m
medium , 6 , pmapsum2 , 9 , 9 , 1 , 0.95 , 0.9m
medium , 2 , threads_sum , 8 , 1 , 8 , 0.22 , 32.1k
medium , 1 , simple loop , 10 , 10 , 1 , 1.08 , 32.1k
medium , 3 , parallel , 10 , 10 , 1 , 0.8 , 145.5k
medium , 4 , mapreduce , 10 , 10 , 1 , 0.69 , 170.6k
medium , 5 , pmapsum1 , 10 , 10 , 1 , 35.02 , 15.2m
medium , 6 , pmapsum2 , 10 , 10 , 1 , 1.12 , 0.9m
medium , 1 , simple loop , 11 , 11 , 1 , 1.08 , 32.1k
medium , 3 , parallel , 11 , 11 , 1 , 0.67 , 162.4k
medium , 4 , mapreduce , 11 , 11 , 1 , 0.76 , 187.8k
medium , 5 , pmapsum1 , 11 , 11 , 1 , 33.47 , 15.2m
medium , 6 , pmapsum2 , 11 , 11 , 1 , 1.11 , 0.9m
medium , 1 , simple loop , 12 , 12 , 1 , 1.08 , 32.1k
medium , 3 , parallel , 12 , 12 , 1 , 0.68 , 179.5k
medium , 4 , mapreduce , 12 , 12 , 1 , 0.77 , 206.3k
medium , 5 , pmapsum1 , 12 , 12 , 1 , 34.48 , 15.2m
medium , 6 , pmapsum2 , 12 , 12 , 1 , 1.13 , 0.9m
medium , 1 , simple loop , 13 , 13 , 1 , 1.08 , 32.1k
medium , 3 , parallel , 13 , 13 , 1 , 0.66 , 198.8k
medium , 4 , mapreduce , 13 , 13 , 1 , 0.62 , 225.3k
medium , 5 , pmapsum1 , 13 , 13 , 1 , 34.08 , 15.2m
medium , 6 , pmapsum2 , 13 , 13 , 1 , 1.14 , 1.0m
medium , 1 , simple loop , 14 , 14 , 1 , 1.08 , 32.1k
medium , 3 , parallel , 14 , 14 , 1 , 0.72 , 218.5k
medium , 4 , mapreduce , 14 , 14 , 1 , 0.66 , 244.1k
medium , 5 , pmapsum1 , 14 , 14 , 1 , 32.79 , 15.2m
medium , 6 , pmapsum2 , 14 , 14 , 1 , 1.14 , 1.0m
medium , 1 , simple loop , 15 , 15 , 1 , 1.08 , 32.1k
medium , 3 , parallel , 15 , 15 , 1 , 0.72 , 234.8k
medium , 4 , mapreduce , 15 , 15 , 1 , 0.64 , 263.3k
medium , 5 , pmapsum1 , 15 , 15 , 1 , 32.22 , 15.2m
medium , 6 , pmapsum2 , 15 , 15 , 1 , 1.11 , 1.0m
medium , 1 , simple loop , 16 , 16 , 1 , 1.07 , 32.1k
medium , 3 , parallel , 16 , 16 , 1 , 0.77 , 252.9k
medium , 4 , mapreduce , 16 , 16 , 1 , 0.68 , 281.5k
medium , 5 , pmapsum1 , 16 , 16 , 1 , 32.8 , 15.2m
medium , 6 , pmapsum2 , 16 , 16 , 1 , 1.16 , 1.0m
medium , 1 , simple loop , 17 , 17 , 1 , 1.06 , 32.1k
medium , 3 , parallel , 17 , 17 , 1 , 0.8 , 279.1k
medium , 4 , mapreduce , 17 , 17 , 1 , 0.75 , 302.7k
medium , 5 , pmapsum1 , 17 , 17 , 1 , 33.59 , 15.3m
medium , 6 , pmapsum2 , 17 , 17 , 1 , 1.19 , 1.0m
medium , 1 , simple loop , 18 , 18 , 1 , 1.08 , 32.1k
medium , 3 , parallel , 18 , 18 , 1 , 0.96 , 304.9k
medium , 4 , mapreduce , 18 , 18 , 1 , 0.82 , 321.8k
medium , 5 , pmapsum1 , 18 , 18 , 1 , 32.9 , 15.3m
medium , 6 , pmapsum2 , 18 , 18 , 1 , 1.25 , 1.0m
medium , 1 , simple loop , 19 , 19 , 1 , 1.04 , 32.1k
medium , 3 , parallel , 19 , 19 , 1 , 0.91 , 325.9k
medium , 4 , mapreduce , 19 , 19 , 1 , 0.86 , 340.5k
medium , 5 , pmapsum1 , 19 , 19 , 1 , 31.71 , 15.3m
